Text,Word Number,Line Start,Line End,Normalized,Language,Number
zoor0102.xml,1,1,1,+,grc,0
zoor0102.xml,2,1,1,ε,grc,0
zoor0102.xml,3,1,1,ἷς,grc,0
zoor0102.xml,4,1,1,θέος,grc,0
zoor0102.xml,5,2,2,μνημεῖον,grc,0
zoor0102.xml,6,2,2,+,grc,0
zoor0102.xml,7,3,3,σίλθα,grc,0
zoor0102.xml,8,3,3,σαμά,grc,0
zoor0102.xml,9,4,4,κωνος,grc,0
zoor0102.xml,10,4,4,παυ,grc,0
zoor0102.xml,11,5,5,σαμένη,grc,0
zoor0102.xml,12,5,5,ἐτῶν,grc,0
zoor0102.xml,13,6,6,κβʹ,grc,0
zoor0102.xml,14,6,6,ἔτους,grc,0
zoor0102.xml,15,6,6,τηʹ,grc,0
zoor0102.xml,16,7,7,μηνὸς,grc,0
zoor0102.xml,17,7,7,ξανθικοῦ,grc,0
zoor0102.xml,18,7,7,θιʹ,grc,0
zoor0102.xml,19,8,8,θάρσει,grc,0
zoor0102.xml,20,8,8,ουδεὶς,grc,0
zoor0102.xml,21,9,9,ἀθάνατος,grc,0
zoor0102.xml,22,10,10,+,grc,0
zoor0102.xml,23,10,10,+,grc,0
