,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,zoor0012.xml,1,1,1,μνημεῖον,grc,0,,,,,
1,1,zoor0012.xml,2,1,2,ἀβδάλγην,grc,0,,,,,
2,2,zoor0012.xml,3,2,3,βάγγα,grc,0,,,,,
3,3,zoor0012.xml,4,3,3,ἀποθανόντος,grc,0,,,,,
4,4,zoor0012.xml,5,3,3,ἐτῶν,grc,0,,,,,
5,5,zoor0012.xml,6,3,3,οʹ,grc,0,,,,,
6,6,zoor0012.xml,7,4,4,ἔτους,grc,0,,,,,
7,7,zoor0012.xml,8,4,4,διακοσιοστοῦ,grc,0,,,,,
8,8,zoor0012.xml,9,5,5,τεσσαρακοστοῦ,grc,0,,,,,
9,9,zoor0012.xml,10,5,5,ἐνάτου,grc,0,,,,,
10,10,zoor0012.xml,11,5,6,ἡμέρᾳ,grc,0,,,,,
11,11,zoor0012.xml,12,6,6,ἄρεως,grc,0,,,,,
