,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,caes0009.xml,1,1,1,felicissimo,la,0,felicissimo,ADJ,,felicissimo,"<words>
<word>
<form xml:lang=""lat"">felicissimo</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">felix#1</hdwd>
<pofs order=""2"">adjective</pofs>
<decl>3rd</decl>
</dict>
<infl>
<term xml:lang=""lat""><stem>fe_l</stem><suff>i_cissimo_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>3rd</decl>
<case order=""3"">ablative</case>
<gend>masculine</gend>
<comp>superlative</comp>
<num>singular</num>
<stemtype>ix_adj</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>fe_l</stem><suff>i_cissimo_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>3rd</decl>
<case order=""3"">ablative</case>
<gend>neuter</gend>
<comp>superlative</comp>
<num>singular</num>
<stemtype>ix_adj</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>fe_l</stem><suff>i_cissimo_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>3rd</decl>
<case order=""5"">dative</case>
<gend>masculine</gend>
<comp>superlative</comp>
<num>singular</num>
<stemtype>ix_adj</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>fe_l</stem><suff>i_cissimo_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>3rd</decl>
<case order=""5"">dative</case>
<gend>neuter</gend>
<comp>superlative</comp>
<num>singular</num>
<stemtype>ix_adj</stemtype>
</infl>
</entry>
</word>
</words>
"
1,1,caes0009.xml,2,1,1,ac,la,0,ac,CC,,ac,"<words>
<word>
<form xml:lang=""lat"">ac</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">atque</hdwd>
<pofs order=""0"">conjunction</pofs>
</dict>
<infl>
<term xml:lang=""lat""><stem>ac</stem></term>
<pofs order=""0"">conjunction</pofs>
<stemtype>conj</stemtype>
<morph>indeclform</morph>
</infl>
</entry>
</word>
</words>
"
2,2,caes0009.xml,3,1,1,providentissimo,la,0,providentissimo,ADJ,,providentissimo,"<words>
<word>
<form xml:lang=""lat"">providentissimo</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">provideo</hdwd>
<pofs order=""1"">verb</pofs>
</dict>
<infl>
<term xml:lang=""lat""><stem>pro_vid</stem><suff>entissimo_</suff></term>
<pofs order=""1"">verb</pofs>
<case order=""3"">ablative</case>
<gend>masculine</gend>
<comp>superlative</comp>
<num>singular</num>
<stemtype>conj2</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>pro_vid</stem><suff>entissimo_</suff></term>
<pofs order=""1"">verb</pofs>
<case order=""3"">ablative</case>
<gend>neuter</gend>
<comp>superlative</comp>
<num>singular</num>
<stemtype>conj2</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>pro_vid</stem><suff>entissimo_</suff></term>
<pofs order=""1"">verb</pofs>
<case order=""5"">dative</case>
<gend>masculine</gend>
<comp>superlative</comp>
<num>singular</num>
<stemtype>conj2</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>pro_vid</stem><suff>entissimo_</suff></term>
<pofs order=""1"">verb</pofs>
<case order=""5"">dative</case>
<gend>neuter</gend>
<comp>superlative</comp>
<num>singular</num>
<stemtype>conj2</stemtype>
</infl>
</entry>
</word>
</words>
"
3,3,caes0009.xml,4,2,2,victoriosissimoque,la,0,victoriosissimoque,N,dat,victoriosissimoque,"<words>
<word>
<form xml:lang=""lat"">victoriosissimoque</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">victoriosus</hdwd>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
</dict>
<infl>
<term xml:lang=""lat""><stem>victo_rio_s</stem><suff>issimo_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""3"">ablative</case>
<gend>masculine</gend>
<comp>superlative</comp>
<num>singular</num>
<stemtype>us_a_um</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>victo_rio_s</stem><suff>issimo_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""3"">ablative</case>
<gend>neuter</gend>
<comp>superlative</comp>
<num>singular</num>
<stemtype>us_a_um</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>victo_rio_s</stem><suff>issimo_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""5"">dative</case>
<gend>masculine</gend>
<comp>superlative</comp>
<num>singular</num>
<stemtype>us_a_um</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>victo_rio_s</stem><suff>issimo_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""5"">dative</case>
<gend>neuter</gend>
<comp>superlative</comp>
<num>singular</num>
<stemtype>us_a_um</stemtype>
</infl>
</entry>
</word>
</words>
"
4,4,caes0009.xml,5,2,2,principi,la,0,principi,N,dat,princeps,"<words>
<word>
<form xml:lang=""lat"">principi</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">princeps</hdwd>
<pofs order=""3"">noun</pofs>
<decl>3rd</decl>
<gend>masculine</gend>
</dict>
<infl>
<term xml:lang=""lat""><stem>princ</stem><suff>ipi_</suff></term>
<pofs order=""3"">noun</pofs>
<decl>3rd</decl>
<case order=""5"">dative</case>
<gend>masculine</gend>
<num>singular</num>
<stemtype>eps_ipis</stemtype>
</infl>
</entry>
<entry>
<dict>
<hdwd xml:lang=""lat"">principium</hdwd>
<pofs order=""3"">noun</pofs>
<decl>2nd</decl>
<gend>neuter</gend>
</dict>
<infl>
<term xml:lang=""lat""><stem>princip</stem><suff>i_</suff></term>
<pofs order=""3"">noun</pofs>
<decl>2nd</decl>
<case order=""7"">nominative</case>
<gend>neuter</gend>
<num>plural</num>
<stemtype>ius_i</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>princip</stem><suff>i_</suff></term>
<pofs order=""3"">noun</pofs>
<decl>2nd</decl>
<case order=""6"">genitive</case>
<gend>neuter</gend>
<num>singular</num>
<stemtype>ius_i</stemtype>
</infl>
</entry>
</word>
</words>
"
5,5,caes0009.xml,6,3,3,domino,la,0,domino,N,dat,dominus,"<words>
<word>
<form xml:lang=""lat"">domino</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">dominus</hdwd>
<pofs order=""3"">noun</pofs>
<decl>2nd</decl>
<gend>masculine</gend>
</dict>
<infl>
<term xml:lang=""lat""><stem>domin</stem><suff>o_</suff></term>
<pofs order=""3"">noun</pofs>
<decl>2nd</decl>
<case order=""3"">ablative</case>
<gend>masculine</gend>
<num>singular</num>
<stemtype>us_i</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>domin</stem><suff>o_</suff></term>
<pofs order=""3"">noun</pofs>
<decl>2nd</decl>
<case order=""5"">dative</case>
<gend>masculine</gend>
<num>singular</num>
<stemtype>us_i</stemtype>
</infl>
</entry>
</word>
</words>
"
6,6,caes0009.xml,7,3,3,nostro,la,0,nostro,POSS,,noster,"<words>
<word>
<form xml:lang=""lat"">nostro</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">noster</hdwd>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
</dict>
<infl>
<term xml:lang=""lat""><stem>nost</stem><suff>ro_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""3"">ablative</case>
<gend>neuter</gend>
<num>singular</num>
<stemtype>er_ra_rum</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>nost</stem><suff>ro_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""3"">ablative</case>
<gend>masculine</gend>
<num>singular</num>
<stemtype>er_ra_rum</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>nost</stem><suff>ro_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""5"">dative</case>
<gend>neuter</gend>
<num>singular</num>
<stemtype>er_ra_rum</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>nost</stem><suff>ro_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""5"">dative</case>
<gend>masculine</gend>
<num>singular</num>
<stemtype>er_ra_rum</stemtype>
</infl>
</entry>
</word>
</words>
"
7,7,caes0009.xml,8,3,3,marco,la,0,marco,N,abl,marcus,"<words>
<word>
<form xml:lang=""lat"">marco</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">marcus#1</hdwd>
<pofs order=""3"">noun</pofs>
<decl>2nd</decl>
<gend>masculine</gend>
</dict>
<infl>
<term xml:lang=""lat""><stem>marc</stem><suff>o_</suff></term>
<pofs order=""3"">noun</pofs>
<decl>2nd</decl>
<case order=""3"">ablative</case>
<gend>masculine</gend>
<num>singular</num>
<stemtype>us_i</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>marc</stem><suff>o_</suff></term>
<pofs order=""3"">noun</pofs>
<decl>2nd</decl>
<case order=""5"">dative</case>
<gend>masculine</gend>
<num>singular</num>
<stemtype>us_i</stemtype>
</infl>
</entry>
</word>
</words>
"
8,8,caes0009.xml,9,3,3,aurelio,la,0,aurelio,V,IND,aurelio,"<words>
<unknown xml:lang=""lat"">aurelio</unknown>
</words>
"
9,9,caes0009.xml,10,3,3,valeriano,la,0,valeriano,ADJ,,valeriano,"<words>
<unknown xml:lang=""lat"">valeriano</unknown>
</words>
"
