,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,beth0224.xml,1,1,1,דקביר,arc,0,,,,,
1,1,beth0224.xml,2,1,1,בהדין,arc,0,,,,,
2,2,beth0224.xml,3,2,2,שמעון,arc,0,,,,,
3,3,beth0224.xml,4,2,2,בר,arc,0,,,,,
4,4,beth0224.xml,5,2,2,יוחנן,arc,0,,,,,
5,5,beth0224.xml,6,3,3,ובשבועה,arc,0,,,,,
6,6,beth0224.xml,7,3,3,דכל,arc,0,,,,,
7,7,beth0224.xml,8,4,4,דיפתח,arc,0,,,,,
8,8,beth0224.xml,9,4,4,עלוי,arc,0,,,,,
9,9,beth0224.xml,10,4,4,יהי,arc,0,,,,,
10,10,beth0224.xml,11,5,5,מאית,arc,0,,,,,
11,11,beth0224.xml,12,5,5,בסוף,arc,0,,,,,
12,12,beth0224.xml,13,6,6,ביש,arc,0,,,,,
