,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,elji0001.xml,1,1,1,σαλώνα,grc,0,,,,,
1,1,elji0001.xml,2,1,1,καταν,grc,0,,,,,
2,2,elji0001.xml,3,2,2,α,grc,0,,,,,
3,3,elji0001.xml,4,2,2,μαραιάμη,grc,0,,,,,
