,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,eins0001.xml,1,1,1,εἷς,grc,0,,,,,
1,1,eins0001.xml,2,1,1,θεὸς,grc,0,,,,,
2,2,eins0001.xml,3,2,2,καὶ,grc,0,,,,,
3,3,eins0001.xml,4,2,2,ὁ,grc,0,,,,,
4,4,eins0001.xml,5,2,2,χριστὸς,grc,0,,,,,
5,5,eins0001.xml,6,2,2,αὐτοῦ,grc,0,,,,,
6,6,eins0001.xml,7,3,3,ὁ,grc,0,,,,,
7,7,eins0001.xml,8,3,3,βοη,grc,0,,,,,
8,8,eins0001.xml,9,3,3,θῶν,grc,0,,,,,
