,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,kqaz0001.xml,1,1,2,αὐσένη,grc,0,,,,,
1,1,kqaz0001.xml,2,2,2,ἡ,grc,0,,,,,
2,2,kqaz0001.xml,3,2,3,καλή,grc,0,,,,,
