,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,caes0013.xml,1,2,2,probo,la,0,probo,ADJ,,probus,"<words>
<word>
<form xml:lang=""lat"">probo</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">probo</hdwd>
<pofs order=""1"">verb</pofs>
</dict>
<infl>
<term xml:lang=""lat""><stem>prob</stem><suff>o_</suff></term>
<pofs order=""1"">verb</pofs>
<mood>indicative</mood>
<num>singular</num>
<pers>1st</pers>
<tense>present</tense>
<voice>active</voice>
<stemtype>conj1</stemtype>
<derivtype>are_vb</derivtype>
</infl>
</entry>
<entry>
<dict>
<hdwd xml:lang=""lat"">probus#1</hdwd>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
</dict>
<infl>
<term xml:lang=""lat""><stem>prob</stem><suff>o_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""3"">ablative</case>
<gend>neuter</gend>
<num>singular</num>
<stemtype>us_a_um</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>prob</stem><suff>o_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""3"">ablative</case>
<gend>masculine</gend>
<num>singular</num>
<stemtype>us_a_um</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>prob</stem><suff>o_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""5"">dative</case>
<gend>neuter</gend>
<num>singular</num>
<stemtype>us_a_um</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>prob</stem><suff>o_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""5"">dative</case>
<gend>masculine</gend>
<num>singular</num>
<stemtype>us_a_um</stemtype>
</infl>
</entry>
</word>
</words>
"
1,1,caes0013.xml,2,2,2,augusto,la,0,augusto,ADJ,abl,augustus|augustus,"<words>
<word>
<form xml:lang=""lat"">augusto</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">augusto</hdwd>
<pofs order=""1"">verb</pofs>
</dict>
<infl>
<term xml:lang=""lat""><stem>august</stem><suff>o_</suff></term>
<pofs order=""1"">verb</pofs>
<mood>indicative</mood>
<num>singular</num>
<pers>1st</pers>
<tense>present</tense>
<voice>active</voice>
<stemtype>conj1</stemtype>
<derivtype>are_vb</derivtype>
</infl>
</entry>
<entry>
<dict>
<hdwd xml:lang=""lat"">augustus#1</hdwd>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
</dict>
<infl>
<term xml:lang=""lat""><stem>august</stem><suff>o_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""3"">ablative</case>
<gend>neuter</gend>
<num>singular</num>
<stemtype>us_a_um</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>august</stem><suff>o_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""3"">ablative</case>
<gend>masculine</gend>
<num>singular</num>
<stemtype>us_a_um</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>august</stem><suff>o_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""5"">dative</case>
<gend>neuter</gend>
<num>singular</num>
<stemtype>us_a_um</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>august</stem><suff>o_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>1st &amp; 2nd</decl>
<case order=""5"">dative</case>
<gend>masculine</gend>
<num>singular</num>
<stemtype>us_a_um</stemtype>
</infl>
</entry>
</word>
</words>
"
2,2,caes0013.xml,3,3,3,super,la,0,super,PREP,,super,"<words>
<word>
<form xml:lang=""lat"">super</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">super#2</hdwd>
<pofs order=""7"">adverb</pofs>
</dict>
<infl>
<term xml:lang=""lat""><stem>super</stem></term>
<pofs order=""7"">adverb</pofs>
<stemtype>adverb</stemtype>
<morph>indeclform</morph>
</infl>
<infl>
<term xml:lang=""lat""><stem>super</stem></term>
<pofs order=""6"">preposition</pofs>
<stemtype>prep</stemtype>
<morph>indeclform</morph>
</infl>
</entry>
<entry>
<dict>
<hdwd xml:lang=""lat"">supo</hdwd>
<pofs order=""1"">verb</pofs>
</dict>
<infl>
<term xml:lang=""lat""><stem>sup</stem><suff>er</suff></term>
<pofs order=""1"">verb</pofs>
<mood>subjunctive</mood>
<num>singular</num>
<pers>1st</pers>
<tense>present</tense>
<voice>passive</voice>
<stemtype>conj1</stemtype>
<derivtype>are_vb</derivtype>
</infl>
</entry>
</word>
</words>
"
3,3,caes0013.xml,4,3,3,omnes,la,0,omnes,PRON,,omnis,"<words>
<word>
<form xml:lang=""lat"">omnes</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">omnes</hdwd>
<pofs order=""3"">noun</pofs>
<decl>3rd</decl>
<gend>masculine/feminine</gend>
</dict>
<infl>
<term xml:lang=""lat""><stem>omn</stem><suff>e_s</suff></term>
<pofs order=""3"">noun</pofs>
<decl>3rd</decl>
<case order=""4"">accusative</case>
<gend>masculine</gend>
<num>plural</num>
<stemtype>is_is</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>omn</stem><suff>e_s</suff></term>
<pofs order=""3"">noun</pofs>
<decl>3rd</decl>
<case order=""4"">accusative</case>
<gend>feminine</gend>
<num>plural</num>
<stemtype>is_is</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>omn</stem><suff>e_s</suff></term>
<pofs order=""3"">noun</pofs>
<decl>3rd</decl>
<case order=""7"">nominative</case>
<gend>masculine</gend>
<num>plural</num>
<stemtype>is_is</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>omn</stem><suff>e_s</suff></term>
<pofs order=""3"">noun</pofs>
<decl>3rd</decl>
<case order=""7"">nominative</case>
<gend>feminine</gend>
<num>plural</num>
<stemtype>is_is</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>omn</stem><suff>e_s</suff></term>
<pofs order=""3"">noun</pofs>
<decl>3rd</decl>
<case order=""1"">vocative</case>
<gend>masculine</gend>
<num>plural</num>
<stemtype>is_is</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>omn</stem><suff>e_s</suff></term>
<pofs order=""3"">noun</pofs>
<decl>3rd</decl>
<case order=""1"">vocative</case>
<gend>feminine</gend>
<num>plural</num>
<stemtype>is_is</stemtype>
</infl>
</entry>
<entry>
<dict>
<hdwd xml:lang=""lat"">omnis</hdwd>
<pofs order=""2"">adjective</pofs>
<decl>3rd</decl>
</dict>
<infl>
<term xml:lang=""lat""><stem>omn</stem><suff>e_s</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>3rd</decl>
<case order=""4"">accusative</case>
<gend>masculine</gend>
<num>plural</num>
<stemtype>is_e</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>omn</stem><suff>e_s</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>3rd</decl>
<case order=""4"">accusative</case>
<gend>feminine</gend>
<num>plural</num>
<stemtype>is_e</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>omn</stem><suff>e_s</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>3rd</decl>
<case order=""7"">nominative</case>
<gend>masculine</gend>
<num>plural</num>
<stemtype>is_e</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>omn</stem><suff>e_s</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>3rd</decl>
<case order=""7"">nominative</case>
<gend>feminine</gend>
<num>plural</num>
<stemtype>is_e</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>omn</stem><suff>e_s</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>3rd</decl>
<case order=""1"">vocative</case>
<gend>masculine</gend>
<num>plural</num>
<stemtype>is_e</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>omn</stem><suff>e_s</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>3rd</decl>
<case order=""1"">vocative</case>
<gend>feminine</gend>
<num>plural</num>
<stemtype>is_e</stemtype>
</infl>
</entry>
</word>
</words>
"
4,4,caes0013.xml,5,3,3,retro,la,0,retro,ADV,,retro,"<words>
<word>
<form xml:lang=""lat"">retro</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">retro</hdwd>
<pofs order=""7"">adverb</pofs>
</dict>
<infl>
<term xml:lang=""lat""><stem>re_tro_</stem></term>
<pofs order=""7"">adverb</pofs>
<stemtype>adverb</stemtype>
<morph>indeclform</morph>
</infl>
</entry>
</word>
</words>
"
5,5,caes0013.xml,6,4,4,princ,la,0,princ,V,IMP,princ,"<words>
<unknown xml:lang=""lat"">princ</unknown>
</words>
"
6,6,caes0013.xml,7,4,4,ipes,la,0,ipes,N,acc,ipes,"<words>
<unknown xml:lang=""lat"">ipes</unknown>
</words>
"
7,7,caes0013.xml,8,4,4,fortissimo,la,0,fortissimo,ADJ,SUP,fortis,"<words>
<word>
<form xml:lang=""lat"">fortissimo</form>
<entry>
<dict>
<hdwd xml:lang=""lat"">fortis</hdwd>
<pofs order=""2"">adjective</pofs>
<decl>3rd</decl>
</dict>
<infl>
<term xml:lang=""lat""><stem>fort</stem><suff>issimo_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>3rd</decl>
<case order=""3"">ablative</case>
<gend>masculine</gend>
<comp>superlative</comp>
<num>singular</num>
<stemtype>is_e</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>fort</stem><suff>issimo_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>3rd</decl>
<case order=""3"">ablative</case>
<gend>neuter</gend>
<comp>superlative</comp>
<num>singular</num>
<stemtype>is_e</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>fort</stem><suff>issimo_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>3rd</decl>
<case order=""5"">dative</case>
<gend>masculine</gend>
<comp>superlative</comp>
<num>singular</num>
<stemtype>is_e</stemtype>
</infl>
<infl>
<term xml:lang=""lat""><stem>fort</stem><suff>issimo_</suff></term>
<pofs order=""2"">adjective</pofs>
<decl>3rd</decl>
<case order=""5"">dative</case>
<gend>neuter</gend>
<comp>superlative</comp>
<num>singular</num>
<stemtype>is_e</stemtype>
</infl>
</entry>
</word>
</words>
"
8,8,caes0013.xml,9,5,5,p,la,0,p,ABBR,,p.,"<words>
<unknown xml:lang=""lat"">p</unknown>
</words>
"
9,9,caes0013.xml,10,5,5,assenianus,la,0,assenianus,ADJ,,assenianus,"<words>
<unknown xml:lang=""lat"">assenianus</unknown>
</words>
"
